,user,time,isOutlier,randX,popoutColor,randY,backgroundColor,selection,__collections__
34hHTwGaBfpPBItKLxZ1,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952256, '_nanoseconds': 457000000}}",false,1428.7055166876185,122,589.2528356149957,148,False,{}
35YSa2xAnJNLd0D2Uofp,VtmPmqrVIdiD9dOoZjG6,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886520, '_nanoseconds': 583000000}}",false,1092.7563630604477,142,302.97165003521934,173,True,{}
39IPPqKzkeQG3aOMJN9S,1,,,,,,,,{}
3IKKW0axu0cVqMl2s9vA,Nj7MIbWMyAvVci8khUBK,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886159, '_nanoseconds': 814000000}}",false,585.5666969098821,128,24.46883792910423,161,True,{}
3JvJt5RZuIBfJcSHv39K,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886805, '_nanoseconds': 888000000}}",false,1107.2408903073804,159,272.26394249112167,154,False,{}
3X2FuHdbAqPuHaI1yUX6,1,,,,,,,,{}
3X5aWMevodF5zO4TCtIs,XqQ1lBsxdtGT6JFtLq7H,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886115, '_nanoseconds': 860000000}}",true,320.4280588109854,129,218.51705827832532,124,False,{}
3mRqv1Z5zlgm2c7zZm1o,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952138, '_nanoseconds': 226000000}}",true,1498.5515830334732,149,778.8424518445656,123,False,{}
3o9evR8zKBwS6q9U3UoW,tsSfdnCH1lwVMbb1JehO,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581954235, '_nanoseconds': 443000000}}",true,716.8570391550253,170,427.1532030719661,130,True,{}
3pNNAhHXP1Wdg2rurqXX,VtmPmqrVIdiD9dOoZjG6,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886534, '_nanoseconds': 930000000}}",false,783.4798793287354,174,439.2343510713605,142,True,{}
3sHTD3ZdJVcCxas5BAgE,Nj7MIbWMyAvVci8khUBK,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886072, '_nanoseconds': 862000000}}",false,875.4691409246674,145,439.37323696053653,160,True,{}
40KjuFT1vWzCuHp2BSJj,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886583, '_nanoseconds': 730000000}}",false,915.391323966342,162,57.11816687800559,130,False,{}
41rf1x8FSGU2XzvLIydW,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886633, '_nanoseconds': 110000000}}",false,120.27402910470428,179,717.7908834534915,162,True,{}
45roUY5M9NTDUfEk8EPu,tsSfdnCH1lwVMbb1JehO,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581954379, '_nanoseconds': 149000000}}",false,272.56032488751015,151,716.1472578200152,137,False,{}
48ZVgZm9nGs8AuMJFjtS,VtmPmqrVIdiD9dOoZjG6,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886472, '_nanoseconds': 705000000}}",false,928.259569938027,165,219.927567624283,124,False,{}
4V6ol8xzX9Cl0O99Aa99,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886786, '_nanoseconds': 173000000}}",false,1389.8261855494072,153,138.22070824559654,130,False,{}
4ZRgB2ggqGVySyZzHvsk,XqQ1lBsxdtGT6JFtLq7H,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886375, '_nanoseconds': 986000000}}",true,27.67826638557448,129,588.5739328256238,157,False,{}
4hpjTACvQHFs3kT25fjj,tsSfdnCH1lwVMbb1JehO,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581954184, '_nanoseconds': 828000000}}",false,736.5731948294219,180,194.79666578937756,165,True,{}
4iVZjz9PSAp8dbHY4DTR,LYwE8Rd7iwFahiWuiuIj,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581884323, '_nanoseconds': 917000000}}",true,1033.9557994605864,137,822.1405919770525,123,False,{}
4wwM3SIMeUna62BBtxlH,nSABhdzrcxaAoz63pOHH,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886624, '_nanoseconds': 391000000}}",false,695.9188927719234,167,1214.1477212080113,134,True,{}
4yiCfGHNfeY2fMJ37ghU,Nj7MIbWMyAvVci8khUBK,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886075, '_nanoseconds': 713000000}}",true,664.6280581146474,169,425.9423215076763,142,True,{}
50nr7WLBv71tJMPahd6V,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952121, '_nanoseconds': 995000000}}",false,745.0212466239961,166,144.96726010666416,153,False,{}
57Dh2RXXagYSSH8M9cMc,FO1IiFnNxgbabBOUGZkw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886688, '_nanoseconds': 759000000}}",false,595.9464451420158,155,1327.9404242055018,161,False,{}
5A6UqNSfKFjVUY4YKubZ,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886597, '_nanoseconds': 4000000}}",false,1160.1828559646078,171,720.5935810162429,140,True,{}
5Ity2xPqgYsnkvEYsVg8,FO1IiFnNxgbabBOUGZkw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886804, '_nanoseconds': 431000000}}",true,172.3562612432643,173,1374.9214806272971,133,True,{}
5NBQsWDlt8ge4xDk0Wyg,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952131, '_nanoseconds': 646000000}}",false,854.9333603931055,142,194.08441733563632,129,False,{}
5UtmU2GQNTOEudCKsAsG,nSABhdzrcxaAoz63pOHH,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886717, '_nanoseconds': 91000000}}",false,126.90523384292872,157,716.9314650609425,141,False,{}
5fnPvBmXwHZxyJZtToDs,XqQ1lBsxdtGT6JFtLq7H,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886093, '_nanoseconds': 95000000}}",true,42.37119967551939,142,24.462685909893736,129,False,{}
5jAtGpggPbBlWtnm5I1b,Nj7MIbWMyAvVci8khUBK,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886096, '_nanoseconds': 592000000}}",false,468.45666465109883,171,530.9766309020426,134,True,{}
5r68pvk1hpm2m5wo9JxF,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886557, '_nanoseconds': 499000000}}",false,790.6600951423807,128,149.53741796936083,138,False,{}
5s3i19XZOx8hBEo9HRuP,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952247, '_nanoseconds': 36000000}}",false,697.1820133896153,146,383.13515371493213,145,False,{}
5wU6rHjMJuMpEJXovXth,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952168, '_nanoseconds': 958000000}}",false,947.5727612329891,151,533.620788620778,138,False,{}
5zZPHAtiPiLhLeMCst1U,XqQ1lBsxdtGT6JFtLq7H,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886391, '_nanoseconds': 712000000}}",true,1069.6406593790412,160,795.3409606898446,134,True,{}
62MpplCMgVzyphewY6J6,1,,,,,,,,{}
6AEOQvFd83MawdVeteoA,VtmPmqrVIdiD9dOoZjG6,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886631, '_nanoseconds': 50000000}}",true,33.11166185927309,123,335.7601956832725,174,True,{}
6Fnd7kysqZVbJPoXKgeY,tsSfdnCH1lwVMbb1JehO,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581954208, '_nanoseconds': 84000000}}",true,269.81824918052615,179,396.1038146507975,174,False,{}
6MgMFCmfmlSoyRKqWuGN,7MBx4YWFKKhRBs2Q2ERX,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886189, '_nanoseconds': 494000000}}",false,17.927354840448558,153,920.3340092925562,164,False,{}
